0	0
1	0
2	0
3	0
4	0
5	0
6	111
7	109
8	119
9	88
10	90
11	88
12	108
13	94
14	98
15	106
16	108
17	123
18	113
19	143
20	148
21	123
22	145
23	114
24	129
25	137
26	134
27	150
28	130
29	139
30	127
31	130
32	143
33	128
34	143
35	117
36	131
37	136
38	123
39	139
40	121
41	106
42	134
43	112
44	141
45	115
46	146
47	144
48	114
49	129
50	133
51	131
52	104
53	141
54	122
55	120
56	114
57	134
58	123
59	130
60	145
61	147
62	119
63	130
64	105
65	114
66	105
67	120
68	126
69	106
70	129
71	128
72	119
73	121
74	119
75	115
76	115
77	146
78	110
79	130
80	125
81	148
82	132
83	115
84	109
85	121
86	106
87	107
88	131
89	122
90	113
91	98
92	113
93	133
94	109
95	127
96	130
97	111
98	122
99	108
100	123
101	115
102	119
103	130
104	137
105	111
106	106
107	126
108	127
109	110
110	114
111	110
112	122
113	108
114	126
115	107
116	94
117	89
118	139
119	108
120	115
121	125
122	112
123	101
124	119
125	112
126	125
127	111
128	104
129	99
130	91
131	99
132	109
133	110
134	117
135	108
136	119
137	100
138	110
139	111
140	103
141	114
142	105
143	125
144	102
145	104
146	101
147	82
148	106
149	91
150	116
151	108
152	105
153	94
154	117
155	107
156	86
157	102
158	111
159	104
160	109
161	87
162	86
163	103
164	120
165	94
166	91
167	89
168	99
169	92
170	105
171	82
172	82
173	108
174	78
175	104
176	103
177	86
178	78
179	86
180	96
181	101
182	90
183	88
184	80
185	92
186	76
187	90
188	109
189	81
190	99
191	95
192	89
193	99
194	74
195	88
196	87
197	87
198	92
199	97
200	98
201	84
202	97
203	90
204	73
205	84
206	105
207	97
208	95
209	82
210	81
211	102
212	79
213	85
214	95
215	110
216	79
217	90
218	75
219	76
220	101
221	87
222	89
223	90
224	91
225	85
226	101
227	78
228	78
229	80
230	108
231	76
232	83
233	69
234	91
235	75
236	83
237	82
238	87
239	81
240	82
241	89
242	81
243	88
244	74
245	92
246	72
247	81
248	73
249	73
250	78
251	90
252	84
253	83
254	68
255	77
256	80
257	83
258	69
259	94
260	100
261	76
262	81
263	85
264	68
265	72
266	83
267	79
268	62
269	75
270	62
271	85
272	86
273	74
274	71
275	67
276	69
277	74
278	66
279	80
280	78
281	67
282	88
283	76
284	78
285	97
286	77
287	68
288	72
289	72
290	78
291	91
292	56
293	77
294	74
295	65
296	71
297	67
298	82
299	81
300	80
301	80
302	79
303	71
304	80
305	71
306	74
307	77
308	65
309	65
310	76
311	77
312	64
313	72
314	79
315	71
316	61
317	75
318	83
319	62
320	71
321	63
322	76
323	79
324	76
325	66
326	72
327	63
328	69
329	52
330	83
331	60
332	57
333	67
334	78
335	57
336	66
337	67
338	70
339	76
340	65
341	67
342	81
343	71
344	78
345	58
346	76
347	66
348	62
349	60
350	70
351	86
352	69
353	59
354	59
355	67
356	60
357	72
358	70
359	61
360	57
361	68
362	71
363	58
364	57
365	59
366	48
367	77
368	61
369	62
370	50
371	56
372	50
373	63
374	57
375	69
376	53
377	68
378	71
379	63
380	64
381	66
382	48
383	49
384	61
385	68
386	57
387	64
388	54
389	61
390	60
391	51
392	50
393	51
394	48
395	49
396	60
397	62
398	50
399	62
400	58
401	55
402	59
403	74
404	74
405	60
406	54
407	56
408	44
409	62
410	53
411	73
412	45
413	63
414	64
415	55
416	57
417	50
418	69
419	52
420	58
421	53
422	45
423	57
424	58
425	59
426	49
427	64
428	59
429	58
430	55
431	54
432	55
433	61
434	43
435	50
436	57
437	65
438	46
439	47
440	65
441	55
442	63
443	42
444	61
445	51
446	44
447	52
448	60
449	60
450	49
451	45
452	46
453	49
454	65
455	51
456	56
457	46
458	41
459	50
460	50
461	42
462	42
463	46
464	45
465	59
466	50
467	50
468	49
469	53
470	48
471	48
472	43
473	55
474	50
475	45
476	49
477	59
478	47
479	43
480	46
481	59
482	53
483	58
484	39
485	50
486	42
487	60
488	51
489	54
490	43
491	52
492	48
493	51
494	39
495	46
496	52
497	44
498	54
499	58
500	63
501	46
502	46
503	43
504	56
505	58
506	57
507	51
508	39
509	37
510	41
511	44
512	44
513	40
514	56
515	52
516	45
517	50
518	42
519	44
520	44
521	53
522	34
523	46
524	52
525	50
526	45
527	48
528	53
529	52
530	42
531	48
532	43
533	35
