17.89	0.16
49.17	0.31
88	0.5
139	0.745
202.23	1.06
284.93	1.46
385.98	1.96
511.47	2.575
664.01	3.32
845.01	4.21
1059.78	5.26
1309.61	6.485
1597.92	7.9
